artist_id,artist_name
19fc1f9a-feec-465e-92c5-6f1ec131cc5d,Nikka
e3e2a042-fe36-46ad-a757-084bf121fbd8,NerdOut
34e82054-fa96-4406-88b1-933b3c676811,Jasmine Cephas-Jones
c7ecaaf0-60a4-4634-96b1-98da05da6e27,KAMRAD
ce2b15b4-e84d-4352-95c4-122dfd672566,Frailty!
e9b20a32-b831-444b-8abd-e02d5a3c1c83,12AM
ebc54966-2cef-4ab4-81ba-e3fc4054ff74,Musiq Soulchild
b322a24e-7a6b-4954-8587-b872f60c2b77,Jennifer Lopez
7560c000-f15d-415a-947a-60482c61735c,Aníbal Arias
2215706d-f8e3-49c1-a5f1-33f0942d3adf,Arnaldo Antunes
cd81673d-43d6-4788-a37b-4ffd443116e8,Paulo Sérgio
793fe8d5-c448-4771-b2ae-0f87b1b3cb2e,Atlanta Rhythm Section
274bb8c5-f3f7-43e9-956b-6560c8a45342,Los Cafres
03a6f6e3-d0cc-4865-846e-ca3a34c74e44,Peter Edelmann
32f1ef94-74f4-40d8-96e8-da0ab2780fbb,Black Chiney
d6e70e44-1998-43ce-aa73-a5ee4da2a971,Malik Dub
59d0a662-5572-4436-8f7b-ba6361a1a1cf,Serrini
9aa1a9b8-b257-4436-80db-b8ceec962f41,Spongebob Squarepants
724e2cb0-b8dd-44ff-9963-24b7c70c67f4,Ayla
29328736-1a8a-41ae-bd0a-907583f129c3,Under This
b837e91d-9a8a-4f80-a4a8-debe0fb5df85,Poemme
f65f30f8-e88e-4719-9b0e-7c716bf0a111,BOL4
7079b202-018b-472f-aa32-db14f245a071,Caju Pra Baixo
47a52d1f-1b7a-475c-bccd-7f60e02b2a7d,Kellermensch
a6ebf4f5-f809-4075-8140-e915a389c124,許光漢
ff89624f-e645-449e-b8fc-3ccdff51f694,DizzyEight
184c38a9-47e7-43b7-b9a7-b7741322db1e,[bsd.u]
b5c7bdcf-6750-49d2-9897-156ef9981a7f,Archit Anand
f463e2be-3c5c-499e-9829-e00861da6c39,Perk Pietrek
77bac0ef-bf88-451b-99b6-bbc20d34598f,Shiloh Beat
0e61c935-285c-4520-beca-1cdb0c743ceb,Z.TAO
b9b730db-eb5a-4c30-b7f1-db1fd3979d83,Mari Fernandez
6fbe5c8e-e235-4173-8e4c-ab3d384c3b28,Craig Ferguson
891d4738-1856-4ffd-a783-0e595c133e70,Darkkey
acf6abd6-8943-44a4-b173-0d61b09492a0,tacica
2968ed92-488d-43e2-8208-67357929ee98,Lalo Schifrin
ef1d963e-0083-45e1-a25d-c510bbb6d248,No Use For A Name
